nl	en	fr	de	references	usage	description
Paal	Pile	Poteau	Säule	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Pilotis	Säule	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Poteau	Säule	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Pilotis	Ständer	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Pilotis	Ständer	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Poteau	Ständer	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Poteau	Ständer	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Pilotis	Ständer	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Poteau	Ständer	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Pilotis	Stiel	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
